# The limits for DP, which are ultimately required for the “vcf-filter_GT-workflow_step-01.sh” script

# SAMPLE MIN_DP MAX_DP MEDIAN_DP
B1-1 5 52 26
B13018-3 5 68 34
B13018-4 5 74 37
B20-6 5 50 25
B26-3 5 46 23
B34-4 5 62 31
B40-6 5 54 27
B57-1 5 76 38
B6-1 5 60 30
B6-3 5 64 32
ana_tur_01 5 36 18
ana_tur_02 5 12 6
ana_tur_03 5 12 6
ana_tur_04 5 12 6
ana_tur_05 5 14 7
ana_tur_06 5 12 6
ana_tur_07 5 14 7
ana_tur_08 5 12 6
ana_tur_09 5 12 6
ana_tur_10 5 14 7
car_aut_hun_01 5 42 21
car_aut_hun_02 5 16 8
car_aut_hun_03 5 16 8
car_aut_hun_04 5 18 9
car_aut_hun_05 5 14 7
car_aut_hun_06 5 16 8
car_aut_hun_07 5 14 7
car_aut_hun_08 5 14 7
car_aut_hun_09 5 14 7
car_aut_hun_10 5 16 8
mel_irl_01 5 36 18
mel_irl_02 5 14 7
mel_irl_03 5 12 6
mel_irl_04 5 12 6
mel_irl_05 5 16 8
mel_irl_06 5 8 4
mel_irl_07 5 14 7
mel_irl_08 5 20 10
mel_irl_09 5 14 7
mel_irl_10 5 14 7
mon_101_MKF_2 5 18 9
mon_102_MKF_3 5 14 7
mon_103_MKF_4 5 10 5
mon_104_MKF_5 5 8 4
mon_105_MKF_6 5 10 5
mon_106_MKF_7 5 8 4
mon_107_MKF_11 5 10 5
mon_108_MKF_13 5 10 5
mon_109_MKF_108 5 12 6
mon_110_MKF_113 5 6 3
mon_120_MF_71 5 10 5
mon_121_MF_72 5 8 4
mon_122_MF_74 5 12 6
mon_123_MF_79 5 12 6
mon_124_MF_81 5 10 5
mon_125_MF_82 5 8 4
mon_126_MF_85 5 8 4
mon_127_MF_87 5 10 5
mon_128_MF_89 5 12 6
mon_129_MF_90 5 10 5
rut_mlt_01 5 18 9
rut_mlt_02 5 54 27
rut_mlt_03 5 16 8
rut_mlt_04 5 16 8
rut_mlt_05 5 20 10
rut_mlt_06 5 18 9
rut_mlt_07 5 18 9
rut_mlt_08 5 18 9
rut_mlt_09 5 18 9
rut_mlt_10 5 18 9
